iter	Passed	Remaining
394	1238	1896
395	1252	1909
396	1255	1907
397	1259	1905
398	1263	1903
399	1266	1899
400	1269	1896
401	1272	1893
402	1275	1889
403	1278	1886
404	1281	1883
405	1284	1879
406	1287	1876
407	1290	1872
408	1293	1869
409	1296	1865
410	1299	1862
411	1302	1859
412	1305	1855
413	1308	1852
414	1311	1849
415	1314	1845
416	1317	1842
417	1320	1839
418	1323	1835
419	1327	1833
420	1330	1829
421	1333	1826
422	1336	1823
423	1339	1819
424	1342	1816
425	1345	1813
426	1349	1810
427	1351	1806
428	1354	1803
429	1358	1800
430	1361	1797
431	1364	1794
432	1367	1790
433	1370	1787
434	1373	1783
435	1376	1780
436	1380	1778
437	1383	1775
438	1386	1771
439	1389	1768
440	1392	1764
441	1395	1761
442	1398	1757
443	1401	1754
444	1403	1751
445	1407	1747
446	1410	1744
447	1413	1741
448	1416	1737
449	1419	1734
450	1421	1730
451	1424	1727
452	1427	1724
453	1430	1720
454	1433	1716
455	1436	1713
456	1439	1710
457	1442	1706
458	1445	1703
459	1448	1700
460	1451	1696
461	1454	1693
462	1457	1690
463	1460	1686
464	1463	1683
465	1465	1679
466	1468	1676
467	1471	1672
468	1474	1669
469	1477	1666
470	1480	1662
471	1483	1659
472	1486	1656
473	1489	1652
474	1492	1649
475	1495	1646
476	1498	1642
477	1501	1639
478	1503	1635
479	1507	1632
480	1509	1629
481	1512	1625
482	1515	1622
483	1518	1619
484	1521	1615
485	1524	1612
486	1527	1609
487	1530	1605
488	1533	1602
489	1536	1598
490	1539	1595
491	1542	1592
492	1545	1589
493	1548	1585
494	1550	1582
495	1553	1578
496	1556	1575
497	1559	1572
498	1562	1568
499	1565	1565
500	1568	1562
501	1571	1558
502	1574	1555
503	1577	1552
504	1579	1548
505	1582	1545
506	1585	1541
507	1588	1538
508	1591	1535
509	1594	1531
510	1597	1528
511	1599	1524
512	1602	1521
513	1605	1518
514	1608	1514
515	1611	1511
516	1614	1508
517	1617	1504
518	1620	1501
519	1623	1498
520	1626	1494
521	1628	1491
522	1631	1488
523	1634	1484
524	1637	1481
525	1641	1478
526	1643	1475
527	1646	1472
528	1649	1468
529	1652	1465
530	1655	1462
531	1658	1459
532	1661	1455
533	1664	1452
534	1666	1448
535	1669	1445
536	1672	1442
537	1675	1438
538	1678	1435
539	1681	1432
540	1684	1429
541	1688	1426
542	1691	1423
543	1694	1420
544	1697	1417
545	1700	1414
546	1703	1410
547	1706	1407
548	1709	1404
549	1712	1401
550	1715	1397
551	1718	1394
552	1721	1391
553	1724	1388
554	1727	1384
555	1729	1381
556	1732	1378
557	1735	1374
558	1738	1371
559	1741	1368
560	1744	1365
561	1747	1362
562	1750	1358
563	1753	1355
564	1756	1352
565	1759	1349
566	1762	1345
567	1765	1342
568	1768	1339
569	1771	1336
570	1774	1332
571	1776	1329
572	1779	1326
573	1782	1322
574	1785	1319
575	1788	1316
576	1791	1313
577	1794	1310
578	1797	1306
579	1800	1303
580	1803	1300
581	1806	1297
582	1809	1294
583	1812	1290
584	1815	1287
585	1817	1284
586	1820	1281
587	1823	1277
588	1826	1274
589	1829	1271
590	1832	1268
591	1835	1265
592	1838	1261
593	1841	1258
594	1844	1255
595	1847	1252
596	1849	1248
597	1852	1245
598	1855	1242
599	1858	1239
600	1861	1235
601	1864	1232
602	1867	1229
603	1870	1226
604	1873	1222
605	1876	1219
606	1878	1216
607	1881	1213
608	1884	1210
609	1887	1206
610	1890	1203
611	1893	1200
612	1896	1197
613	1899	1194
614	1902	1191
615	1905	1187
616	1908	1184
617	1911	1181
618	1914	1178
619	1917	1175
620	1920	1171
621	1923	1168
622	1926	1165
623	1928	1162
624	1931	1159
625	1934	1156
626	1937	1152
627	1940	1149
628	1943	1146
629	1946	1143
630	1949	1139
631	1952	1136
632	1954	1133
633	1957	1130
634	1960	1127
635	1963	1123
636	1966	1120
637	1969	1117
638	1972	1114
639	1975	1110
640	1980	1109
641	1983	1106
642	1986	1102
643	1989	1099
644	1992	1096
645	1995	1093
646	1998	1090
647	2000	1086
648	2003	1083
649	2006	1080
650	2009	1077
651	2012	1074
652	2016	1071
653	2019	1068
654	2022	1065
655	2025	1062
656	2028	1058
657	2030	1055
658	2034	1052
659	2036	1049
660	2040	1046
661	2042	1043
662	2045	1039
663	2048	1036
664	2051	1033
665	2054	1030
666	2057	1027
667	2060	1023
668	2062	1020
669	2065	1017
670	2068	1014
671	2072	1011
672	2074	1008
673	2077	1004
674	2080	1001
675	2083	998
676	2086	995
677	2089	992
678	2091	988
679	2094	985
680	2097	982
681	2100	979
682	2103	976
683	2106	972
684	2109	969
685	2111	966
686	2114	963
687	2117	960
688	2120	957
689	2123	953
690	2126	950
691	2128	947
692	2131	944
693	2135	941
694	2138	938
695	2141	935
696	2145	932
697	2148	929
698	2151	926
699	2154	923
700	2158	920
701	2161	917
702	2164	914
703	2167	911
704	2170	908
705	2173	905
706	2176	901
707	2179	898
708	2182	895
709	2185	892
710	2188	889
711	2191	886
712	2194	883
713	2198	880
714	2200	877
715	2203	874
716	2206	870
717	2209	867
718	2212	864
719	2215	861
720	2218	858
721	2221	855
722	2223	852
723	2226	848
724	2229	845
725	2232	842
726	2235	839
727	2238	836
728	2241	833
729	2244	830
730	2246	826
731	2249	823
732	2252	820
733	2255	817
734	2258	814
735	2261	811
736	2264	807
737	2266	804
738	2269	801
739	2272	798
740	2275	795
741	2278	792
742	2281	789
743	2284	786
744	2287	782
745	2290	779
746	2293	776
747	2296	773
748	2299	770
749	2302	767
750	2305	764
751	2308	761
752	2311	758
753	2314	755
754	2317	751
755	2319	748
756	2322	745
757	2325	742
758	2328	739
759	2331	736
760	2334	733
761	2337	729
762	2340	726
763	2342	723
764	2345	720
765	2348	717
766	2351	714
767	2354	711
768	2356	708
769	2359	704
770	2362	701
771	2365	698
772	2368	695
773	2371	692
774	2374	689
775	2376	686
776	2379	683
777	2382	679
778	2385	676
779	2388	673
780	2391	670
781	2394	667
782	2397	664
783	2400	661
784	2403	658
785	2406	655
786	2409	652
787	2412	648
788	2414	645
789	2417	642
790	2420	639
791	2423	636
792	2426	633
793	2429	630
794	2432	627
795	2435	624
796	2438	621
797	2440	617
798	2443	614
799	2446	611
800	2449	608
801	2452	605
802	2455	602
803	2458	599
804	2461	596
805	2463	593
806	2466	589
807	2469	586
808	2472	583
809	2475	580
810	2478	577
811	2480	574
812	2483	571
813	2486	568
814	2489	565
815	2492	562
816	2495	558
817	2497	555
818	2500	552
819	2503	549
820	2506	546
821	2509	543
822	2512	540
823	2515	537
824	2518	534
825	2520	531
826	2523	527
827	2526	524
828	2529	521
829	2532	518
830	2535	515
831	2538	512
832	2541	509
833	2543	506
834	2546	503
835	2549	500
836	2552	497
837	2555	493
838	2558	490
839	2561	487
840	2564	484
841	2566	481
842	2569	478
843	2572	475
844	2575	472
845	2578	469
846	2581	466
847	2584	463
848	2586	460
849	2589	456
850	2593	454
851	2596	450
852	2599	447
853	2601	444
854	2604	441
855	2607	438
856	2610	435
857	2613	432
858	2616	429
859	2619	426
860	2622	423
861	2624	420
862	2627	417
863	2630	414
864	2633	410
865	2636	407
866	2639	404
867	2642	401
868	2644	398
869	2647	395
870	2650	392
871	2653	389
872	2656	386
873	2659	383
874	2662	380
875	2665	377
876	2668	374
877	2671	371
878	2673	368
879	2676	365
880	2680	362
881	2683	359
882	2686	355
883	2689	352
884	2691	349
885	2694	346
886	2697	343
887	2700	340
888	2703	337
889	2705	334
890	2708	331
891	2711	328
892	2714	325
893	2717	322
894	2720	319
895	2723	316
896	2726	313
897	2729	310
898	2732	307
899	2735	303
900	2738	300
901	2741	297
902	2744	294
903	2747	291
904	2750	288
905	2752	285
906	2755	282
907	2759	279
908	2762	276
909	2764	273
910	2767	270
911	2770	267
912	2773	264
913	2776	261
914	2779	258
915	2781	255
916	2784	252
917	2787	249
918	2790	245
919	2793	242
920	2796	239
921	2798	236
922	2801	233
923	2804	230
924	2807	227
925	2810	224
926	2813	221
927	2815	218
928	2818	215
929	2821	212
930	2824	209
931	2827	206
932	2830	203
933	2833	200
934	2835	197
935	2838	194
936	2841	191
937	2844	188
938	2847	184
939	2850	181
940	2852	178
941	2856	175
942	2859	172
943	2861	169
944	2864	166
945	2867	163
946	2870	160
947	2873	157
948	2876	154
949	2879	151
950	2882	148
951	2885	145
952	2887	142
953	2890	139
954	2893	136
955	2896	133
956	2899	130
957	2902	127
958	2905	124
959	2908	121
960	2910	118
961	2913	115
962	2916	112
963	2920	109
964	2923	106
965	2925	102
966	2928	99
967	2931	96
968	2934	93
969	2937	90
970	2940	87
971	2943	84
972	2946	81
973	2949	78
974	2952	75
975	2955	72
976	2958	69
977	2960	66
978	2963	63
979	2966	60
980	2969	57
981	2978	54
982	2980	51
983	2983	48
984	2986	45
985	2989	42
986	2992	39
987	2995	36
988	2997	33
989	3000	30
990	3003	27
991	3006	24
992	3009	21
993	3012	18
994	3015	15
995	3017	12
996	3020	9
997	3023	6
998	3026	3
999	3029	0
