iter	Logloss	Accuracy
98	0.3838141275	0.9186602871
99	0.3816426224	0.9186602871
100	0.3799631707	0.9186602871
101	0.3786314783	0.9198564593
102	0.3766240331	0.9246411483
103	0.375113865	0.9258373206
104	0.374145039	0.9270334928
105	0.3726006158	0.9246411483
106	0.3713806361	0.9282296651
107	0.3698810906	0.9282296651
108	0.3686995131	0.9294258373
109	0.3671505072	0.9306220096
110	0.365781187	0.9318181818
111	0.363631366	0.9318181818
112	0.3619293818	0.9306220096
113	0.3600205477	0.9377990431
114	0.3585287829	0.9389952153
115	0.3566159128	0.9366028708
116	0.3552793746	0.9377990431
117	0.3544659531	0.9389952153
118	0.3532455287	0.9401913876
119	0.3517435154	0.9413875598
120	0.3502459079	0.9425837321
121	0.3488005327	0.9401913876
122	0.3480380324	0.9389952153
123	0.3469525028	0.9401913876
124	0.3451098529	0.9377990431
125	0.343657752	0.9413875598
126	0.3426607445	0.9413875598
127	0.3415939821	0.9425837321
128	0.3397159503	0.9449760766
129	0.3382022022	0.9449760766
130	0.3369487207	0.9425837321
131	0.3353003458	0.9449760766
132	0.3334867028	0.9473684211
133	0.332628605	0.9473684211
134	0.3310762295	0.9473684211
135	0.3295028224	0.9485645933
136	0.3283130852	0.9497607656
137	0.3270103654	0.9485645933
138	0.325467371	0.9497607656
139	0.3237188577	0.9545454545
140	0.3229036062	0.9533492823
141	0.3217156758	0.9533492823
142	0.3208418633	0.9545454545
143	0.3189633265	0.9545454545
144	0.3177817564	0.956937799
145	0.3166694506	0.9557416268
146	0.3156999223	0.956937799
147	0.3151590959	0.956937799
148	0.3144510123	0.9581339713
149	0.3132619613	0.9593301435
150	0.3118975358	0.9593301435
151	0.3109305774	0.9629186603
152	0.30997315	0.9629186603
153	0.3090322951	0.9653110048
154	0.3078339316	0.9677033493
155	0.3073473737	0.9700956938
156	0.3063175558	0.9700956938
157	0.3049230542	0.9700956938
158	0.3037982098	0.9677033493
159	0.3025903824	0.971291866
160	0.301880234	0.971291866
161	0.3011866295	0.971291866
162	0.3006945459	0.971291866
163	0.2994034665	0.9724880383
164	0.2985681888	0.9724880383
165	0.2971643556	0.9736842105
166	0.2957960777	0.9724880383
167	0.2945467127	0.9736842105
168	0.2939503927	0.9724880383
169	0.292852878	0.9736842105
170	0.2911726503	0.9736842105
171	0.2904075705	0.9748803828
172	0.2894322784	0.9748803828
173	0.2882795311	0.9736842105
174	0.2873112058	0.9748803828
175	0.28590629	0.9748803828
176	0.2853899675	0.9748803828
177	0.2841073192	0.9748803828
178	0.2832394176	0.9736842105
179	0.2825219531	0.9748803828
180	0.2813688353	0.9748803828
181	0.2804587253	0.9748803828
182	0.2790216545	0.9772727273
183	0.277730596	0.9772727273
184	0.2766583057	0.976076555
185	0.275329553	0.9772727273
186	0.2736720392	0.9772727273
187	0.2729958462	0.9772727273
188	0.2720051896	0.9772727273
189	0.2708927208	0.9784688995
190	0.2697735104	0.9784688995
191	0.2684184034	0.980861244
192	0.2672882723	0.980861244
193	0.2665565791	0.980861244
194	0.2654788255	0.980861244
195	0.2645150687	0.980861244
196	0.2634420564	0.980861244
197	0.2624188785	0.980861244
198	0.2611842369	0.980861244
199	0.2606441365	0.980861244
200	0.2599640727	0.980861244
201	0.2591450836	0.9820574163
202	0.2577329426	0.9832535885
203	0.2568478189	0.9832535885
204	0.2555400429	0.9832535885
205	0.255049304	0.9832535885
206	0.2538661698	0.9832535885
207	0.2527136956	0.9844497608
208	0.2516186071	0.9844497608
209	0.2510394184	0.9844497608
210	0.2496693555	0.9844497608
211	0.249136895	0.9832535885
212	0.2480518944	0.9832535885
213	0.2472819852	0.9832535885
214	0.246234735	0.9832535885
215	0.2455687589	0.9832535885
216	0.2446047279	0.9832535885
217	0.2430100643	0.985645933
218	0.2425274044	0.985645933
219	0.2418990878	0.9844497608
220	0.2408126737	0.9880382775
221	0.2394625315	0.9868421053
222	0.2391125892	0.9868421053
223	0.2377974618	0.985645933
224	0.2368281471	0.9880382775
225	0.2361322307	0.9880382775
226	0.2350655644	0.9880382775
227	0.2337641265	0.9892344498
228	0.233040737	0.9892344498
229	0.2321271249	0.9892344498
230	0.2315354892	0.9880382775
231	0.2305610009	0.9892344498
232	0.2291847424	0.9880382775
233	0.2285397752	0.990430622
234	0.2271193797	0.9892344498
235	0.2262227764	0.990430622
236	0.2254694219	0.990430622
237	0.2249922394	0.990430622
238	0.2241303869	0.990430622
239	0.2234326538	0.990430622
240	0.2223785162	0.990430622
241	0.2214521001	0.990430622
242	0.2208204212	0.9916267943
243	0.2201927068	0.9916267943
244	0.2192898407	0.9916267943
245	0.2181973484	0.9916267943
246	0.2172369078	0.9916267943
247	0.216420478	0.9916267943
248	0.2153918054	0.9916267943
249	0.2149790604	0.9916267943
250	0.2138979981	0.9928229665
251	0.2132143676	0.9928229665
252	0.2123900576	0.9928229665
253	0.2113024844	0.9928229665
254	0.2106660378	0.9928229665
255	0.2097563464	0.9928229665
256	0.2090423588	0.9928229665
257	0.2081127605	0.9928229665
258	0.2070220872	0.9940191388
259	0.2061498099	0.9940191388
260	0.2051427475	0.9940191388
261	0.2043950559	0.9940191388
262	0.2037700343	0.9940191388
263	0.2029299586	0.9940191388
264	0.2019237605	0.9940191388
265	0.2011275217	0.9940191388
266	0.2001092729	0.9940191388
267	0.1992809914	0.9940191388
268	0.1984971921	0.9940191388
269	0.1977805834	0.9940191388
270	0.1967151044	0.9940191388
271	0.1960008659	0.9940191388
272	0.195742958	0.9940191388
273	0.1944495125	0.9940191388
274	0.1936749219	0.995215311
275	0.1924340874	0.995215311
276	0.191451719	0.995215311
277	0.1905804104	0.995215311
278	0.189821019	0.995215311
279	0.1889192156	0.9964114833
280	0.1883271396	0.9964114833
281	0.1871485487	0.9964114833
282	0.1866690752	0.9964114833
283	0.1854782658	0.9964114833
284	0.1845071399	0.9964114833
285	0.18333204	0.9964114833
286	0.1819513798	0.9964114833
287	0.1812097351	0.9964114833
288	0.1804724797	0.9964114833
289	0.1797241895	0.9964114833
290	0.1783200152	0.9964114833
291	0.177155226	0.9964114833
292	0.1763847825	0.9964114833
293	0.1754418574	0.9964114833
294	0.1744879446	0.9964114833
295	0.1739112656	0.9964114833
296	0.1728613245	0.9964114833
297	0.1722813577	0.9964114833
298	0.171555454	0.9964114833
299	0.1706375881	0.9964114833
300	0.1698158693	0.9964114833
301	0.1688730984	0.9964114833
302	0.1680388869	0.9964114833
303	0.1671310041	0.9964114833
304	0.166412511	0.9964114833
305	0.165705918	0.9964114833
306	0.1652426487	0.9964114833
307	0.1642604675	0.9964114833
308	0.1630625261	0.9964114833
309	0.1623617807	0.9964114833
310	0.1616060222	0.9964114833
311	0.1606868609	0.9964114833
312	0.1597965849	0.9964114833
313	0.1590985917	0.9964114833
314	0.1579975415	0.9964114833
315	0.1571850326	0.9976076555
316	0.1566120515	0.9976076555
317	0.1556923338	0.9976076555
318	0.1548360602	0.9964114833
319	0.1542148833	0.9976076555
320	0.1536524565	0.9976076555
321	0.152965241	0.9976076555
322	0.1524432153	0.9976076555
323	0.1514385098	0.9976076555
324	0.1509852801	0.9976076555
325	0.1502993171	0.9976076555
326	0.1497555214	0.9976076555
327	0.1488862708	0.9976076555
328	0.1482222638	0.9976076555
329	0.1473237634	0.9976076555
330	0.1464189283	0.9976076555
331	0.1454308061	0.9976076555
332	0.1444730027	0.9976076555
333	0.1440616157	0.9976076555
334	0.1431252302	0.9976076555
335	0.142541526	0.9976076555
336	0.142015158	0.9988038278
337	0.1412957442	1
338	0.1404204403	1
339	0.1394674577	1
340	0.1386918964	1
341	0.1379256332	1
342	0.1372300049	1
343	0.1364972628	1
344	0.1358463514	1
345	0.1350108943	1
346	0.1345070098	1
347	0.1340037249	1
348	0.1335147031	1
349	0.1327821818	1
350	0.1317958004	1
351	0.1309740669	1
352	0.1304854428	1
353	0.1300147404	1
354	0.1292018751	1
355	0.1286235952	1
356	0.1279117089	1
357	0.1271930839	1
358	0.1266335367	1
359	0.1260992274	1
360	0.1253744102	1
361	0.1249642301	1
362	0.124496294	1
363	0.124208139	1
364	0.1237192316	1
365	0.1233158571	1
366	0.1229396412	1
367	0.1222517033	1
368	0.1215891645	1
369	0.1212250037	1
370	0.1207565636	1
371	0.1200640349	1
372	0.1196945574	1
373	0.1193950717	1
374	0.1188087916	1
375	0.1181443187	1
376	0.1177597812	1
377	0.1171431884	1
378	0.1165444715	1
379	0.1159825612	1
380	0.1153594995	1
381	0.1149326548	1
382	0.1141468019	1
383	0.1136893001	1
384	0.1132028874	1
385	0.1129625847	1
386	0.1123676314	1
387	0.1119586935	1
388	0.1114329915	1
389	0.1110751159	1
390	0.1105538114	1
391	0.1100556956	1
392	0.1095035686	1
393	0.108936844	1
394	0.1085862931	1
395	0.1080768306	1
396	0.1074113258	1
397	0.1068808804	1
398	0.1063795475	1
399	0.1058922512	1
400	0.1053548984	1
401	0.1048367918	1
402	0.1041530145	1
403	0.103617682	1
404	0.1030539329	1
405	0.1024651262	1
406	0.1019938508	1
407	0.1016546936	1
408	0.1011852193	1
409	0.1005960409	1
410	0.100204107	1
411	0.09963931978	1
412	0.09915251749	1
413	0.09851641123	1
414	0.09809384834	1
415	0.09761480241	1
416	0.09712645081	1
417	0.09670055014	1
418	0.09640863463	1
419	0.09577773198	1
420	0.09528045449	1
421	0.09476961088	1
422	0.09449423463	1
423	0.09417811112	1
424	0.09394199759	1
425	0.09349434266	1
426	0.09309075174	1
427	0.09260822733	1
428	0.0922662975	1
429	0.09171462859	1
430	0.09118203905	1
431	0.09073706111	1
432	0.09038616242	1
433	0.09009257424	1
434	0.08965523203	1
435	0.0893627175	1
436	0.08919919005	1
437	0.08884036066	1
438	0.08839456644	1
439	0.08793704079	1
440	0.08754747532	1
441	0.08700969042	1
442	0.0866996208	1
443	0.08629750811	1
444	0.08582051069	1
445	0.08547457315	1
446	0.08522208667	1
447	0.08491155453	1
448	0.08453776205	1
449	0.08409357837	1
450	0.08376812838	1
451	0.08337600935	1
452	0.08300030802	1
453	0.08290658149	1
454	0.08263568395	1
455	0.08218918338	1
456	0.08179514901	1
457	0.08137946593	1
458	0.08102562895	1
459	0.08073238708	1
460	0.08049975434	1
461	0.08026938883	1
462	0.0799003669	1
463	0.07954040501	1
464	0.07908640875	1
465	0.07861542031	1
466	0.07828088132	1
467	0.07795747571	1
468	0.0774750853	1
469	0.07717778421	1
470	0.07695207204	1
471	0.07663803779	1
472	0.07622530619	1
473	0.07591046804	1
474	0.07567450126	1
475	0.07532835928	1
476	0.07502558586	1
477	0.07468913005	1
478	0.07434655929	1
479	0.07390481035	1
480	0.07352865085	1
481	0.07319244783	1
482	0.07292388855	1
483	0.07263949593	1
484	0.07232195146	1
485	0.07204286772	1
486	0.07182009735	1
487	0.07153491077	1
488	0.07120308137	1
489	0.07088167254	1
490	0.07046145021	1
491	0.07013820115	1
492	0.06985786931	1
493	0.06967669703	1
494	0.06934713674	1
495	0.06901162808	1
496	0.06866814982	1
497	0.06839058945	1
498	0.06805480453	1
499	0.06764173611	1
500	0.06736238369	1
501	0.06711475574	1
502	0.06689938353	1
503	0.06664140305	1
504	0.06637936052	1
505	0.06602710765	1
506	0.0657761078	1
507	0.06555559252	1
508	0.06530218724	1
509	0.06509864319	1
510	0.06492115278	1
511	0.06463797476	1
512	0.06434123532	1
513	0.06402192556	1
514	0.06375900146	1
515	0.06345949694	1
516	0.06324070305	1
517	0.06304045666	1
518	0.0628650731	1
519	0.06259146435	1
520	0.06242175271	1
521	0.06221351115	1
522	0.06195577743	1
523	0.06175580069	1
524	0.06155308326	1
525	0.06148111296	1
526	0.06125052875	1
527	0.06096796119	1
528	0.06076826967	1
529	0.06061691119	1
530	0.06040904124	1
531	0.06018243666	1
532	0.05983500763	1
533	0.05957151689	1
534	0.05937022138	1
535	0.0590623762	1
536	0.05887283126	1
537	0.05858617611	1
538	0.05843833793	1
539	0.05818781008	1
540	0.05794623418	1
541	0.05774265267	1
542	0.05759329486	1
543	0.05741900406	1
544	0.05725524924	1
545	0.05706407911	1
546	0.05691958391	1
547	0.05683994969	1
548	0.05655910565	1
549	0.0562811465	1
550	0.05601785059	1
551	0.05583492239	1
552	0.05564971417	1
553	0.05545383922	1
554	0.05522191256	1
555	0.05495578491	1
556	0.05473219499	1
557	0.05450920442	1
558	0.05436940233	1
559	0.05412211508	1
560	0.05389241731	1
561	0.05362211707	1
562	0.05344535456	1
563	0.05323097271	1
564	0.05310784173	1
565	0.05286724858	1
566	0.0526635055	1
567	0.05244099609	1
568	0.05223593826	1
569	0.05204716385	1
570	0.05184812483	1
571	0.05167756652	1
572	0.05147122213	1
573	0.05132342518	1
574	0.05114767862	1
575	0.05092556198	1
576	0.05075475871	1
577	0.05058836005	1
578	0.05036268724	1
579	0.050186426	1
580	0.04996355419	1
581	0.04989385279	1
582	0.04969976614	1
583	0.04947980148	1
584	0.04932218901	1
585	0.04916853017	1
586	0.04907570776	1
587	0.04891589344	1
588	0.04881348143	1
589	0.04863849457	1
590	0.04842924986	1
591	0.0482367843	1
592	0.04814686335	1
593	0.04799604264	1
594	0.04777986086	1
595	0.04758099843	1
596	0.04743258636	1
597	0.04725776531	1
598	0.04716705453	1
599	0.0471034893	1
600	0.04690629577	1
601	0.0468748457	1
602	0.04675685101	1
603	0.04658269091	1
604	0.04648922539	1
605	0.04636012634	1
606	0.04622918089	1
607	0.04603205948	1
608	0.04585976834	1
609	0.0457154509	1
610	0.04560653951	1
611	0.04542405146	1
612	0.04529840282	1
613	0.04508877045	1
614	0.04488910309	1
615	0.04463810392	1
616	0.04448879919	1
617	0.04434622429	1
618	0.0441835488	1
619	0.04401903192	1
620	0.04395088154	1
621	0.04373729423	1
622	0.04361348488	1
623	0.04356604376	1
624	0.04345511677	1
625	0.04329053865	1
626	0.04313342501	1
627	0.04296930932	1
628	0.04290998556	1
629	0.04276646905	1
630	0.04264946403	1
631	0.04255663133	1
632	0.04245662132	1
633	0.04233324926	1
634	0.04215529444	1
635	0.04201125596	1
636	0.04199159275	1
637	0.04192434413	1
638	0.04179024501	1
639	0.0416555014	1
640	0.04152841098	1
641	0.04138289598	1
642	0.04121154009	1
643	0.04110204733	1
644	0.04094951311	1
645	0.04080486256	1
646	0.0406682666	1
647	0.04050524805	1
648	0.04038275615	1
649	0.04020653212	1
650	0.04002236336	1
651	0.03985341265	1
652	0.03971552524	1
653	0.0395536369	1
654	0.03940912949	1
655	0.03933035861	1
656	0.03918214052	1
657	0.03906141817	1
658	0.03895346815	1
659	0.03879516997	1
660	0.03869403634	1
661	0.03858428732	1
662	0.03845127942	1
663	0.03832137835	1
664	0.03817335113	1
665	0.03807978866	1
666	0.03793496023	1
667	0.03781703509	1
668	0.03770525327	1
669	0.03755758091	1
670	0.03740912113	1
671	0.03731315684	1
672	0.03718623096	1
673	0.03706178658	1
674	0.03693085365	1
675	0.03676690883	1
676	0.03667486935	1
677	0.03652588095	1
678	0.03640454743	1
679	0.03623691943	1
680	0.0360999508	1
681	0.0359398304	1
682	0.03582308517	1
683	0.03569761774	1
684	0.03559440998	1
685	0.03544537782	1
686	0.03533410184	1
687	0.03521854555	1
688	0.03511280674	1
689	0.0350177678	1
690	0.0349003555	1
691	0.03481626296	1
692	0.03470625629	1
693	0.03455273246	1
694	0.03446197498	1
695	0.03438140582	1
696	0.03430296663	1
697	0.03420373785	1
698	0.03418539247	1
699	0.03412091333	1
700	0.03400718276	1
701	0.03391423466	1
702	0.03378180732	1
703	0.03368867766	1
704	0.03357703986	1
705	0.03347512523	1
706	0.03337106106	1
707	0.033238198	1
708	0.03315899437	1
709	0.03306274251	1
710	0.03296872196	1
711	0.03287345038	1
712	0.0327804943	1
713	0.03268430371	1
714	0.03257443624	1
715	0.03249023304	1
716	0.03237704427	1
717	0.03233072133	1
718	0.03221965473	1
719	0.03220456334	1
720	0.03208787079	1
721	0.03201310259	1
722	0.03191353589	1
723	0.03186298527	1
724	0.03175467552	1
725	0.03165974202	1
726	0.03154302844	1
727	0.03142304251	1
728	0.03127888217	1
729	0.03112948186	1
730	0.0310546031	1
731	0.03094214901	1
732	0.03085508006	1
733	0.03077740164	1
734	0.03065393227	1
735	0.03058941616	1
736	0.03052114395	1
737	0.03041694727	1
738	0.03030519324	1
739	0.03021257147	1
740	0.03011263706	1
741	0.03004573918	1
742	0.02995657462	1
743	0.02985950061	1
744	0.02974927623	1
745	0.02967188747	1
746	0.02954975675	1
747	0.02946708445	1
748	0.02935199835	1
749	0.02928403462	1
750	0.02921035229	1
751	0.02915446055	1
752	0.02907090932	1
753	0.0289843659	1
754	0.02892462842	1
755	0.02882088289	1
756	0.02875957188	1
757	0.02868768671	1
758	0.02862276609	1
759	0.02852315343	1
760	0.02842373248	1
761	0.02835185692	1
762	0.02829346215	1
763	0.02822741086	1
764	0.02814382356	1
765	0.02808794463	1
766	0.02800411071	1
767	0.02792687119	1
768	0.02783649431	1
769	0.02778278099	1
770	0.02770948318	1
771	0.02762597529	1
772	0.02753045402	1
773	0.02745298628	1
774	0.02737921255	1
775	0.02732455717	1
776	0.02726991446	1
777	0.02717730034	1
778	0.02709614922	1
779	0.0270265586	1
780	0.02694568692	1
781	0.02686746175	1
782	0.02678238571	1
783	0.0267349241	1
784	0.0266592396	1
785	0.02657560737	1
786	0.02650138956	1
787	0.0264928104	1
788	0.02644268932	1
789	0.02636081363	1
790	0.02630791663	1
791	0.02622518906	1
792	0.02616084883	1
793	0.02611135727	1
794	0.02605366679	1
795	0.02600443512	1
796	0.02593688271	1
797	0.02586078213	1
798	0.02579228759	1
799	0.02569557341	1
800	0.02562400265	1
801	0.02556278366	1
802	0.02548264203	1
803	0.02541461206	1
804	0.0253561523	1
805	0.0253033231	1
806	0.02524181815	1
807	0.02518632402	1
808	0.02513092932	1
809	0.02507157685	1
810	0.02501823476	1
811	0.02496625377	1
812	0.02488979696	1
813	0.02484512408	1
814	0.0247699732	1
815	0.02471212555	1
816	0.02470506697	1
817	0.02462540731	1
818	0.02453676227	1
819	0.02448200047	1
820	0.02442644895	1
821	0.02436892457	1
822	0.02432675246	1
823	0.02429355337	1
824	0.02424680829	1
825	0.02417856335	1
826	0.02412605981	1
827	0.02405693223	1
828	0.02396859388	1
829	0.02392929185	1
830	0.02390445134	1
831	0.02385154956	1
832	0.02377884166	1
833	0.02371888717	1
834	0.02365247707	1
835	0.02360599921	1
836	0.0235415333	1
837	0.02353539173	1
838	0.02344898623	1
839	0.02340333503	1
840	0.02334943946	1
841	0.02331151809	1
842	0.02325337455	1
843	0.0231947904	1
844	0.02313977184	1
845	0.02305173773	1
846	0.02301068427	1
847	0.02300132586	1
848	0.02294789348	1
849	0.02289303211	1
850	0.02285766185	1
851	0.02280112351	1
852	0.02273474174	1
853	0.02268479283	1
854	0.02264149049	1
855	0.02257579005	1
856	0.02252271157	1
857	0.02247819072	1
858	0.02242421543	1
859	0.0223507251	1
860	0.02229211547	1
861	0.02223689089	1
862	0.02220404883	1
863	0.02215940798	1
864	0.02211502439	1
865	0.02207668683	1
866	0.02200179792	1
867	0.02194747635	1
868	0.0218878321	1
869	0.02185301777	1
870	0.02180841159	1
871	0.02175960744	1
872	0.02169159865	1
873	0.02162017152	1
874	0.02157874578	1
875	0.02153914518	1
876	0.02148255308	1
877	0.02142869034	1
878	0.02139310239	1
879	0.02133799837	1
880	0.02126774962	1
881	0.02122132476	1
882	0.02121633705	1
883	0.02120968462	1
884	0.02116559027	1
885	0.02115239967	1
886	0.02112827224	1
887	0.02108302693	1
888	0.02103804941	1
889	0.02096572409	1
890	0.02093371853	1
891	0.02086308587	1
892	0.02082590982	1
893	0.02080007065	1
894	0.02074026214	1
895	0.02068228985	1
896	0.02064793316	1
897	0.02058873887	1
898	0.0205277999	1
899	0.02047610334	1
900	0.02039860756	1
901	0.02035123693	1
902	0.02029092131	1
903	0.0202470797	1
904	0.02018483173	1
905	0.02011877786	1
906	0.02007873934	1
907	0.02004751873	1
908	0.02001866761	1
909	0.01996627337	1
910	0.0199163602	1
911	0.01985407157	1
912	0.01981430424	1
913	0.0197673992	1
914	0.01971391325	1
915	0.01967602298	1
916	0.01964001776	1
917	0.01959024179	1
918	0.0195386888	1
919	0.01950622944	1
920	0.0194507138	1
921	0.01943956335	1
922	0.01941789691	1
923	0.01934550113	1
924	0.01929626833	1
925	0.01924891625	1
926	0.01922442561	1
927	0.01918139431	1
928	0.01913410101	1
929	0.01909555613	1
930	0.0190490079	1
931	0.0190033726	1
932	0.01896982053	1
933	0.01894617989	1
934	0.01891383093	1
935	0.01887358961	1
936	0.0188126726	1
937	0.01877006219	1
938	0.01871772695	1
939	0.01871380903	1
940	0.01867535185	1
941	0.01863707216	1
942	0.01859180692	1
943	0.01854425956	1
944	0.0184926351	1
945	0.0184485172	1
946	0.01841918146	1
947	0.01836770613	1
948	0.01832786082	1
949	0.01827405928	1
950	0.01823977381	1
951	0.01818498767	1
952	0.01812871611	1
953	0.01809019069	1
954	0.01804362189	1
955	0.01800562488	1
956	0.01795871674	1
957	0.01791889328	1
958	0.01787405647	1
959	0.01783697084	1
960	0.01781443633	1
961	0.01778264963	1
962	0.0177535164	1
963	0.01769831862	1
964	0.01766372042	1
965	0.01764957939	1
966	0.01761263287	1
967	0.01755189721	1
968	0.01752596533	1
969	0.01750002926	1
970	0.01745844698	1
971	0.01743255416	1
972	0.01738772287	1
973	0.01734643642	1
974	0.01730970687	1
975	0.01728209601	1
976	0.01725161234	1
977	0.01722985883	1
978	0.01719905474	1
979	0.017159121	1
980	0.01714096749	1
981	0.01713208883	1
982	0.01711416362	1
983	0.01710127368	1
984	0.01705059415	1
985	0.01702145082	1
986	0.01699199961	1
987	0.01697132332	1
988	0.01695779302	1
989	0.01693873588	1
990	0.01690520985	1
991	0.01686657226	1
992	0.01683122762	1
993	0.01680531862	1
994	0.01675857466	1
995	0.01672402076	1
996	0.01668984879	1
997	0.01664434607	1
998	0.01659427102	1
999	0.0165517941	1
